Date,Actual,Forecast
2021-04-13,176.0141143798828,179.46850173521148
2021-04-15,174.3273468017578,180.2825962249547
2021-04-16,175.38157653808594,180.19903240278083
2021-04-19,173.39962768554688,179.5811997938357
2021-04-20,171.67068481445312,179.80795844323154
2021-04-22,173.65264892578125,179.8041289173095
2021-04-23,173.1887969970703,179.29260605601868
2021-04-26,173.14662170410156,177.4245083319136
2021-04-27,173.23094177246094,177.278442421371
2021-04-28,173.31529235839844,177.07912886630464
2021-04-29,172.30323791503906,176.65319207518826
2021-04-30,170.86947631835938,175.91085573275092
2021-05-03,169.47789001464844,173.75597212512403
2021-05-04,168.33935546875,173.66563205052844
2021-05-05,169.85740661621094,173.60169614211557
2021-05-06,170.99600219726562,173.39048878989166
2021-05-07,173.1887969970703,172.94004605119224
2021-05-10,173.3574676513672,172.0739425238812
2021-05-11,172.0502166748047,172.52548867063894
2021-05-12,171.41770935058594,173.0429931033224
2021-05-14,179.00811767578125,173.61449293230987
2021-05-17,179.30332946777344,174.57437325625753
2021-05-18,177.15267944335938,175.57378839636647
2021-05-19,175.212890625,176.58706506303545
2021-05-20,174.5803680419922,177.41692767781169
2021-05-21,176.309326171875,177.94817126929874
2021-05-24,178.37559509277344,179.45543177105458
2021-05-25,177.8695526123047,180.44507881736934
2021-05-26,177.61656188964844,181.34926556781858
2021-05-27,178.0803985595703,181.97212844732502
2021-05-28,179.5563201904297,182.20209979800524
2021-05-31,182.6768493652344,182.3077545301686
2021-06-01,181.53826904296875,182.69625649388377
2021-06-02,176.26715087890625,182.95222725303364
2021-06-03,176.309326171875,182.89351001193393
2021-06-04,176.05628967285156,182.42297839587528
2021-06-07,178.3334197998047,180.46173093405918
2021-06-08,180.18885803222656,180.22095476878997
2021-06-09,179.218994140625,179.89975221335376
2021-06-10,181.429443359375,179.32756192393109
2021-06-11,180.21585083007812,178.41728568157782
2021-06-14,179.69573974609375,175.65143098488892
2021-06-15,179.47903442382812,175.3276814661196
2021-06-16,180.1724853515625,175.01748111333373
2021-06-17,178.2654571533203,174.54777929673125
2021-06-18,177.31195068359375,173.8268757304221
2021-06-21,177.2252655029297,172.07589344272694
2021-06-22,177.78871154785156,172.20646349687547
2021-06-23,176.7918243408203,172.38904146179186
2021-06-24,176.18507385253906,173.04968704000896
2021-06-25,177.74534606933594,173.4712571648698
2021-06-28,176.4884490966797,175.08809223299178
2021-06-29,176.22837829589844,176.2798951113963
2021-06-30,175.70828247070312,177.4745930637032
2021-07-01,175.96832275390625,178.4770301695495
2021-07-02,175.44822692871094,179.17459177561395
2021-07-05,176.5317840576172,181.17533515778547
2021-07-06,175.53489685058594,182.33990663837614
2021-07-07,176.6184844970703,183.43081138697707
2021-07-08,175.10150146484375,184.25616323434733
2021-07-09,174.53805541992188,184.7082115275842
2021-07-12,174.3213348388672,185.63052034179486
2021-07-13,174.9714813232422,186.34965412579444
2021-07-14,176.92184448242188,186.96782479053377
2021-07-15,178.7855682373047,187.3030084291891
2021-07-16,180.21585083007812,187.25724524810423
2021-07-19,180.0858154296875,186.73186807716795
2021-07-20,179.26231384277344,187.01057724206993
2021-07-22,179.43568420410156,187.18403696499075
2021-07-23,184.11659240722656,186.80713361832915
2021-07-26,183.03306579589844,185.54576042760357
2021-07-27,180.8659820556641,185.66357535727604
2021-07-28,181.2560577392578,185.75108117387398
2021-07-29,178.6121826171875,185.62741220911838
2021-07-30,177.65866088867188,185.19369624541216
2021-08-02,179.69573974609375,183.89327752652434
2021-08-03,181.94952392578125,184.0235480857278
2021-08-04,180.82264709472656,184.12725386223275
2021-08-05,186.5870819091797,184.01864133552908
2021-08-06,185.7202911376953,183.59452788815622
2021-08-09,185.3302001953125,183.35712772798453
2021-08-10,181.9061737060547,183.81416857100044
2021-08-11,180.8659820556641,184.23020638759058
2021-08-12,181.08267211914065,184.42054078427398
2021-08-13,183.29312133789065,184.28394710312207
2021-08-16,182.8163604736328,183.77312202086983
2021-08-17,181.34271240234375,184.13993278781803
2021-08-18,181.1260223388672,184.4738257765533
2021-08-20,181.08267211914065,184.40653905526068
2021-08-23,178.82891845703125,183.88679376754357
2021-08-24,178.35215759277344,184.3101731209235
2021-08-25,178.9155731201172,184.73383770502676
2021-08-26,177.3552703857422,184.9785388029823
2021-08-27,178.482177734375,184.9473673361697
2021-08-30,180.3025360107422,185.08128390381992
2021-08-31,183.16310119628903,185.77196907645464
2021-09-01,181.602783203125,186.47977558010905
2021-09-02,181.81948852539065,187.01963088203854
2021-09-03,182.55633544921875,187.28827156845318
2021-09-06,181.429443359375,188.28174174651085
2021-09-07,183.55316162109375,189.2229269888863
2021-09-08,183.1197509765625,190.1524763706726
2021-09-09,184.3333282470703,190.87962526207775
2021-09-13,185.63357543945312,192.46139307350646
2021-09-14,187.32394409179688,193.36272476790825
2021-09-15,187.23724365234375,194.20353209255313
2021-09-16,200.02310180664065,194.79462710870237
2021-09-17,200.36984252929688,195.0305203687194
2021-09-20,202.62364196777344,195.4290905870584
2021-09-21,209.34164428710935,196.0185706709819
2021-09-22,211.07530212402344,196.53033833428694
2021-09-23,210.20848083496097,196.77941356309864
2021-09-24,206.69778442382812,196.6706527662718
2021-09-27,206.91448974609375,196.0911260040941
2021-09-28,206.09100341796875,196.3951521080501
2021-09-29,206.39437866210935,196.65116669466178
2021-09-30,204.7040252685547,196.68158351320577
2021-10-01,204.0105743408203,196.39167453029611
2021-10-04,205.09413146972656,195.5116210736036
2021-10-05,203.44711303710935,195.79682334200305
2021-10-06,200.45654296875,196.07216323159597
2021-10-07,201.93014526367188,196.15703828253385
2021-10-08,200.8466033935547,195.95284406400927
2021-10-11,206.35104370117188,195.46873278276345
2021-10-12,209.16827392578125,195.913742286821
2021-10-13,216.0162811279297,196.35310275602546
