Date,Open,High,Low,Close,Volume,Year,Month,Day,Weekday
2021-11-17,204.57401920708836,212.5922805531289,204.27062024376968,207.6079559326172,46697822,2021,11,17,2
2021-11-18,208.04138055098684,210.6418978078742,204.83407857954208,205.8742828369141,20226071,2021,11,18,3
2021-11-22,206.2209792917118,208.6914755705393,198.98288205230793,200.15310668945312,22574227,2021,11,22,0
2021-11-23,198.6361520758365,201.7134331792224,198.6361520758365,200.75991821289065,13433385,2021,11,23,1
2021-11-24,201.49672728282587,201.71343703753465,196.72911267923308,197.37924194335935,14139854,2021,11,24,2
2021-11-25,196.772467313174,201.28002779567,195.68891848435695,200.4998779296875,23904846,2021,11,25,3
2021-11-26,198.41945743773456,199.4163303024013,193.39180142326225,194.1719512939453,27027022,2021,11,26,4
2021-11-29,192.43827182606165,193.86855098805717,190.8779588685756,192.00485229492188,22132952,2021,11,29,0
2021-11-30,192.43826500077347,195.21214725630273,190.70458693770345,191.70144653320312,23503453,2021,11,30,1
2021-12-01,192.43828221925375,193.5651757064612,191.22471275728577,192.35159301757812,12995800,2021,12,1,2
2021-12-02,192.3515822155312,196.03564822229893,191.83148671543023,195.42886352539065,15904846,2021,12,2,3
2021-12-03,195.03877309006288,196.07897723449383,191.87481606181163,192.1348571777344,13794647,2021,12,3,4
2021-12-06,192.13487814020547,192.61164228293575,188.53750122371432,188.8842315673828,13138355,2021,12,6,0
2021-12-07,189.7510826508967,192.39494467600605,189.0576219197141,191.26805114746097,8903842,2021,12,7,1
2021-12-08,191.57145607242495,195.6022529116892,191.57145607242495,194.99546813964844,9861847,2021,12,8,2
2021-12-09,193.3051247104622,204.96410828640524,193.3051247104622,204.05392456054688,38241864,2021,12,9,3
2021-12-10,204.7473968007507,207.1312043726257,202.6236436093724,204.6607208251953,35162889,2021,12,10,4
2021-12-13,206.3077215064236,206.9578508809186,202.97038542658268,203.3604736328125,22054342,2021,12,13,0
2021-12-14,203.70720447110543,205.52757201459235,197.2492553151706,198.1594390869141,37508445,2021,12,14,1
2021-12-15,199.37299147380693,201.2800348338256,193.6518481668361,194.21530151367188,34653042,2021,12,15,2
2021-12-16,195.9056205877694,196.03564115137627,191.3980602815752,193.21841430664065,24199205,2021,12,16,3
2021-12-17,193.1317567704544,193.17510137143103,187.88737749824605,188.92758178710935,29683982,2021,12,17,4
2021-12-20,187.45392774101092,187.45392774101092,181.86281901562117,184.11659240722656,37340790,2021,12,20,0
2021-12-21,185.5035821174173,186.7604962667549,182.9464092149202,184.2033233642578,19395604,2021,12,21,1
2021-12-22,185.50356033613096,185.6769255041463,182.98973233262208,183.76988220214844,17239484,2021,12,22,2
2021-12-23,185.41688993823243,189.36101073832313,184.81010517519903,188.36415100097656,22209720,2021,12,23,3
2021-12-24,188.9709014892578,191.09465438813513,187.62729839750656,188.9709014892578,16581585,2021,12,24,4
2021-12-27,189.31766165129045,189.36100625339105,186.93385403182776,188.5808563232422,8153106,2021,12,27,0
2021-12-28,188.9709022073549,191.22468890059332,188.9709022073549,190.7479248046875,11568803,2021,12,28,1
2021-12-29,190.7046019522239,190.96465632754175,187.4972999284104,187.8873748779297,11480954,2021,12,29,2
2021-12-30,187.75735239769952,188.88423263444565,186.8038241068522,187.23724365234375,9741198,2021,12,30,3
2021-12-31,188.01737889586684,189.664380976573,187.36724962827824,189.0142517089844,7583815,2021,12,31,4
2022-01-03,189.0142548414714,190.57456775492557,188.147415803654,189.9244384765625,7765495,2022,1,3,0
2022-01-04,190.27116589757287,192.1782091062888,189.88109098189,190.9212951660156,9050253,2022,1,4,1
2022-01-05,190.40120284139704,192.0048604656231,189.53436374222943,191.18136596679688,11230588,2022,1,5,2
2022-01-06,189.83775211451447,191.05132149480048,189.14427822853065,189.57769775390625,8950589,2022,1,6,3
2022-01-07,190.53122481154128,191.26803006393345,188.537492361872,189.3176422119141,8855041,2022,1,7,4
2022-01-10,190.61790946351255,194.77873971608307,189.75107037868185,193.5651702880859,15841299,2022,1,10,0
2022-01-11,193.6084952515545,194.38864505801195,191.7447834720409,192.39491271972656,8020695,2022,1,11,1
2022-01-12,192.8716691656145,193.86852868177272,192.09151939009175,193.08837890625,13158894,2022,1,12,2
2022-01-13,194.08525647667707,195.73225859486277,193.0883968677886,194.12860107421875,11501088,2022,1,13,3
2022-01-14,194.1285987817595,194.86541725052496,192.6983196681724,192.9583740234375,10569725,2022,1,14,4
2022-01-17,192.95839934334427,195.558916783406,191.87485040998524,194.69207763671875,12318313,2022,1,17,0
2022-01-18,194.6920567162373,197.03251951541708,190.964646140625,191.3547210693359,14394097,2022,1,18,1
2022-01-19,191.35472594495425,192.78500512897511,189.57770319453323,191.00799560546875,11473796,2022,1,19,2
2022-01-20,191.18134557228004,192.56828004684616,188.9709034598214,189.62103271484375,17329896,2022,1,20,3
2022-01-21,189.40434447701793,191.1380226873339,187.237246714123,188.14743041992188,16586264,2022,1,21,4
2022-01-24,188.1474480878287,188.75423287303613,182.81637915434632,183.59654235839844,17354942,2022,1,24,0
2022-01-25,183.76987838182785,186.1103411686664,181.646125357232,185.76361083984375,18322935,2022,1,25,1
2022-01-27,183.1197502585675,186.8038162401008,182.98972969116144,186.0236663818359,23149684,2022,1,27,3
2022-01-28,186.45707847559024,190.05445511749335,186.45707847559024,188.62417602539065,15276991,2022,1,28,4
2022-01-31,189.40433643426763,191.35472433805305,188.1907670293448,190.87796020507812,15039006,2022,1,31,0
2022-02-01,191.571443425837,198.3327911333084,189.96778578060128,197.422607421875,43207074,2022,2,1,1
2022-02-02,199.372980420505,202.23355191539943,198.50614137519847,201.23667907714844,41130638,2022,2,2,2
2022-02-03,201.2366904117485,203.88055229423108,200.9333046649516,203.2304229736328,27845963,2022,2,3,3
2022-02-04,205.6575755197708,206.741124389738,200.71659531810343,203.10040283203125,56705951,2022,2,4,4
2022-02-07,202.8403473939784,203.49047671254888,198.0727323911285,199.54635620117188,24171083,2022,2,7,0
2022-02-08,199.63304846463976,201.36672667409923,198.5494995837276,200.45654296875,16201280,2022,2,8,1
2022-02-09,201.3667333129974,201.9735180609304,198.28945174436836,199.5030212402344,11893807,2022,2,9,2
2022-02-10,198.246113114065,202.32025451795775,197.4226185579988,201.32339477539065,19563580,2022,2,10,3
2022-02-11,201.10664446259557,202.23353778815653,199.19960134152257,201.49671936035156,18096561,2022,2,11,4
2022-02-14,200.43250243796444,200.43250243796444,193.78098133935944,194.62350463867188,22745228,2022,2,14,0
2022-02-15,195.9981573814769,198.21533110751164,193.82532983647363,197.7718963623047,12875311,2022,2,15,1
2022-02-16,198.48137120102604,199.27954823503376,196.7519786056407,197.55015563964844,11231596,2022,2,16,2
2022-02-17,197.8162274462409,198.96916040229945,195.86511742274752,197.4614715576172,14024149,2022,2,17,3
2022-02-18,197.4614777715724,198.17097603859372,196.44158331636,196.79632568359375,8670947,2022,2,18,4
2022-02-21,195.37734210985573,196.26421155789632,192.5836952289955,193.33753967285156,16129017,2022,2,21,0
2022-02-22,190.67693980501988,192.361986418182,188.90320083008947,190.54391479492188,25749340,2022,2,22,1
2022-02-23,192.27329940132063,192.89410530959935,190.72127786434683,191.5194549560547,11014283,2022,2,23,2
2022-02-24,186.24261211148269,189.1692844368886,183.58200336703297,184.9123077392578,41341523,2022,2,24,3
2022-02-25,187.57288487826523,192.0072320385079,186.73036162432984,189.74571228027344,23633656,2022,2,25,4
2022-02-28,189.0805738487792,191.96289971090255,186.95209247131,191.4307861328125,20034633,2022,2,28,0
2022-03-02,190.14480254842343,192.0959261427275,188.41540984670277,190.9429931640625,19295994,2022,3,2,2
2022-03-03,191.6081729224112,195.28867621753977,191.5638267374886,194.5791778564453,28532668,2022,3,3,3
2022-03-04,193.07147508454167,201.67410597735665,192.4506691807918,199.9890594482422,66835736,2022,3,4,4
2022-03-07,196.88501954542716,201.3193668324863,195.19997298936624,199.50128173828125,45258669,2022,3,7,0
2022-03-08,198.57007389636905,202.605332792508,198.43704888555695,201.23068237304688,36036336,2022,3,8,1
2022-03-09,201.94016899596676,205.22158322094117,200.5211860099919,203.3148193359375,42294906,2022,3,9,2
2022-03-10,204.8668536482186,206.19715789268756,202.07322014785564,205.75372314453125,36132245,2022,3,10,3
2022-03-11,205.6650527937526,210.27678549420548,204.11303100909603,209.61163330078125,41699184,2022,3,11,4
2022-03-14,209.52291616336072,212.36089581334824,208.68039285778613,211.96180725097656,35113638,2022,3,14,0
2022-03-15,211.96181960461487,214.09030108301988,209.21251862349945,210.94192504882812,32998305,2022,3,15,1
2022-03-16,212.84865986197653,215.50926811025124,212.05048280051545,215.1545257568359,21629521,2022,3,16,2
2022-03-17,217.50474567666592,217.6377706891344,215.2432257368196,217.1943359375,34223740,2022,3,17,3
2022-03-21,218.08121153562956,219.72192557555277,216.21879364624772,216.839599609375,27975134,2022,3,21,0
2022-03-22,216.8839177433737,222.3825053996868,215.99704833001505,221.49563598632812,36945426,2022,3,22,1
2022-03-23,223.00333844150217,224.99879486458045,220.38707605997723,223.4911193847656,40491633,2022,3,23,2
2022-03-24,223.4467624093296,227.48202124315569,223.00332767006415,226.01869201660156,38239419,2022,3,24,3
2022-03-25,226.4177623886894,226.8168509154611,221.05219976804955,224.68836975097656,29284643,2022,3,25,4
2022-03-28,225.2648616041716,228.81233973967036,223.97890348656432,227.9698028564453,24916402,2022,3,28,0
2022-03-29,227.96979586380235,228.36889796784817,225.04313731783097,225.79698181152344,18122714,2022,3,29,1
2022-03-30,226.2403960098599,227.3933154377406,220.52007738550424,221.0078582763672,17603827,2022,3,30,2
2022-03-31,221.36263633635735,225.5752665322141,221.2739439718437,222.29383850097656,25656796,2022,3,31,3
2022-04-01,221.7173709654946,226.4621281171779,220.6531302913711,224.64404296875,14305709,2022,4,1,4
2022-04-04,224.46666143726256,228.72362393763743,222.69292255125512,226.55079650878903,15907398,2022,4,4,0
2022-04-05,227.0829041800655,232.2267630554718,226.2403944700735,230.09828186035156,27183142,2022,4,5,1
2022-04-06,228.36889191452303,233.55708380404948,228.1915071918469,230.2313232421875,19597941,2022,4,6,2
2022-04-07,228.8123151659109,232.5371776341896,226.86120510744095,227.6150360107422,16061089,2022,4,7,3
2022-04-08,228.81232167215367,238.4348607678996,227.03858274446256,237.50363159179688,37826800,2022,4,8,4
2022-04-11,238.34615083498375,242.24837077516784,235.90725998923045,237.2375640869141,46147653,2022,4,11,0
2022-04-12,236.70544882063575,238.25747034521012,233.33535576474583,234.843017578125,23553762,2022,4,12,1
2022-04-13,235.28645365095096,239.9868779628692,233.8231244752539,239.05564880371097,21414383,2022,4,13,2
2022-04-18,237.68101053065448,241.671923020908,237.01585844894555,239.54344177246097,24399444,2022,4,18,0
2022-04-19,241.228489919456,241.67192464357265,229.52180237673343,231.960693359375,23380138,2022,4,19,1
2022-04-20,233.1579841551512,235.4195175999939,228.41322695745947,230.1869659423828,24510612,2022,4,20,2
2022-04-21,230.3199883140541,234.53261785994567,230.2312959632247,230.94078063964844,23412279,2022,4,21,3
2022-04-22,230.5860531982971,233.24666150443124,229.30008169095595,231.5616149902344,15671273,2022,4,22,4
2022-04-25,229.5218195543277,229.69920428329303,223.93455243834552,226.3734436035156,24208645,2022,4,25,0
2022-04-26,227.570712770262,231.206883031938,227.26030304089176,229.6548614501953,20536714,2022,4,26,1
2022-04-27,227.2159465957252,229.2557353491922,226.81684454760503,228.36886596679688,16580824,2022,4,27,2
2022-04-28,230.14261848060804,233.8674809352388,228.9453393298262,231.5616149902344,27924384,2022,4,28,3
2022-04-29,233.2466765174192,233.2466765174192,229.2557638013417,230.1869659423828,20419904,2022,4,29,4
2022-05-02,228.8123123093521,234.5769635884637,227.96977552713145,233.3796844482422,18965820,2022,5,2,0
2022-05-04,234.1335291784468,235.9516006812518,229.34443967645456,230.3643341064453,25951999,2022,5,4,2
2022-05-05,232.3597811258931,235.19777401148843,230.9407846830955,232.40411376953125,17932895,2022,5,5,3
2022-05-06,229.69920305228436,237.1045688725903,229.610510688277,236.48374938964844,34490123,2022,5,6,4
2022-05-09,236.04029752978047,236.04029752978047,231.0738232214755,233.20233154296875,21403710,2022,5,9,0
2022-05-10,232.35979032103435,236.61675275278145,229.78787439080767,230.3643341064453,18033260,2022,5,10,1
2022-05-11,229.69919813912605,232.53719133600052,223.26939433021224,226.72817993164065,17344099,2022,5,11,2
2022-05-12,226.151722746891,227.39333463522465,220.9635307532052,224.2892913818359,20044726,2022,5,12,3
2022-05-13,226.10737019739713,231.33990822527664,225.70828163971203,229.34445190429688,11921627,2022,5,13,4
2022-05-16,230.54175375863113,230.54175375863113,224.37799946891488,225.3535614013672,8186859,2022,5,16,0
2022-05-17,226.15171916450785,235.4638487771641,225.9743479736348,234.75436401367188,17797974,2022,5,17,1
2022-05-18,235.90726030145603,237.5036143947467,233.3796770994906,236.6167449951172,20200332,2022,5,18,2
2022-05-19,232.89192530141577,247.65829637789057,232.89192530141577,244.4655609130859,78287713,2022,5,19,3
2022-05-20,245.66284735543385,250.4076045134071,245.66284735543385,248.32345581054688,32370771,2022,5,20,4
